geo\time;2002;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
EU (28 countries);:;:;:;:;:;17,1;17,1;17,4;16,8;16,6;16,5;16,3;16
EU (27 countries);:;17,7;:;17,3;17,2;17,2;17,2;17,5;16,9;16,6;16,6;16,3;16,1
Euro area (19 countries);:;:;:;:;:;17;17,3;17,6;17,1;16,8;16,6;16,4;16,1
Belgium;:;9,5;10,1;10,2;10,1;10,2;9,4;8,3;7,5;6,6;6,5;6,1;6
Bulgaria;18,9;12,4;12,1;12,3;13,3;13;13,2;15,1;14,1;14,2;15,4;14,4;13,6
Czechia;22,1;23,4;23,6;26,2;25,9;21,6;22,6;22,5;22,3;22,5;22,5;21,5;21,1
Denmark;:;17,6;17,7;17,1;16,8;17,1;16,4;16,8;16,5;16;15,1;15;14,7
Germany;:;22,7;22,8;22,8;22,6;22,3;22,4;22,7;22,1;22,3;22;21,5;21
Estonia;:;29,8;30,9;27,6;26,6;27,7;27,3;29,9;29,8;28,1;26,9;25,3;25,6
Ireland;15,1;17,2;17,3;12,6;12,6;13,9;12,7;12,2;12,9;13,9;:;:;:
Greece;25,5;20,7;21,5;22;:;15;:;:;:;12,5;:;:;:
Spain;20,2;17,9;18,1;16,1;16,7;16,2;17,6;18,7;17,8;14,9;14,2;15,1;15,1
France;:;15,4;17,3;16,9;15,2;15,6;15,7;15,6;15,5;15,5;15,3;15,3;15,4
Croatia;:;:;:;:;:;5,7;:;:;7,7;8,7;:;11,1;11,6
Italy;:;4,4;5,1;4,9;5,5;5,3;5,7;6,5;7;6,1;5,5;5,3;5
Cyprus;22,5;21,8;22;19,5;17,8;16,8;16,1;15,6;14,9;14,2;14;13,9;13,7
Latvia;:;15,1;13,6;11,8;13,1;15,5;14,1;14,9;16;17,3;17;17;15,7
Lithuania;13,2;17,1;22,6;21,6;15,3;11,9;11,5;11,9;12,2;13,3;14,2;14,4;15,2
Luxembourg;:;10,7;10,2;9,7;9,2;8,7;7,9;7;6,2;5,4;5,5;5,5;5
Hungary;19,1;14,4;16,3;17,5;17,1;17,6;18;20,1;18,4;15,1;14;14;14,2
Malta;:;5,2;7,8;9,2;7,7;7,2;7,7;9,5;9,7;10,6;10,4;11;12,2
Netherlands;18,7;23,6;19,3;18,9;18,5;17,8;18,6;17,6;16,6;16,2;16,1;15,6;15,2
Austria;:;25,5;25,5;25,1;24,3;24;23,5;22,9;22,3;22,2;21,7;20,1;19,9
Poland;7,5;7,5;14,9;11,4;8;4,5;5,5;6,4;7,1;7,7;7,4;7,2;7,2
Portugal;:;8,4;8,5;9,2;10;12,8;12,9;15;13,3;14,9;17,8;17,5;16,3
Romania;16;7,8;12,5;8,5;7,4;8,8;9,6;6,9;4,9;4,5;5,8;5,2;3,5
Slovenia;6,1;8;5;4,1;-0,9;0,9;3,3;4,5;6,3;7;8,1;7,8;8
Slovakia;27,7;25,8;23,6;20,9;21,9;19,6;20,1;20,8;18,8;19,7;19,6;19;19,8
Finland;:;21,3;20,2;20,5;20,8;20,3;19,1;19,2;18,8;18,4;17,6;17,4;16,7
Sweden;:;16,5;17,8;16,9;15,7;15,4;15,6;15,5;14,6;13,8;14;13,3;12,6
United Kingdom;27,3;24,3;20,8;21,4;20,6;23,3;21,8;22,6;21;20,9;21;20,7;20,8
Iceland;:;:;24;20,7;18;17,7;17,8;17,7;19;16,7;17,5;15,8;15,5
Norway;:;16;15,6;17;16,5;16,1;15,7;14,7;15,5;14,5;16,2;14,9;14,3
Switzerland;:;18,6;:;18,4;18,4;17,8;17,6;17,4;17,6;17,4;17,2;17;17
Montenegro;:;:;:;:;:;:;:;:;:;7,7;:;:;:
North Macedonia;:;:;:;:;:;:;:;:;:;9,1;:;:;:
Serbia;:;:;:;:;:;:;:;:;:;8,7;:;:;:
Turkey;:;-2,2;:;:;:;:;:;:;:;-1,3;:;:;:
