currency,sizeclas,worktime,sex,nace_r2,geo\time	2008 	2009 	2010 	2011 
EUR,GE10,FT,F,B-S_X_O,BG	3196 	3595 	3842 	4056 
EUR,GE10,FT,F,B-S_X_O,CH	: 	: 	48972 	: 
EUR,GE10,FT,F,B-S_X_O,DE	33500 	34000 	34740 	35700 p
EUR,GE10,FT,F,B-S_X_O,DK	45405 	47241 	49254 	49584 
EUR,GE10,FT,F,B-S_X_O,EL	22971 	24216 	: 	: 
EUR,GE10,FT,F,B-S_X_O,ES	23027 	24034 	25101 	24738 
EUR,GE10,FT,F,B-S_X_O,FI	: 	34389 	39511 	36435 
EUR,GE10,FT,F,B-S_X_O,FR	: 	29844 	30406 	: 
EUR,GE10,FT,F,B-S_X_O,HU	9088 	8250 	8341 	8652 
EUR,GE10,FT,F,B-S_X_O,IE	40289 	40823 	19177 	: 
EUR,GE10,FT,F,B-S_X_O,LV	7726 	7529 	7059 	7432 
EUR,GE10,FT,F,B-S_X_O,MT	: 	16210 	16864 	17426 
EUR,GE10,FT,F,B-S_X_O,NL	34165 	35581 	36696 	37632 
EUR,GE10,FT,F,B-S_X_O,PT	: 	15334 	15299 	16614 
EUR,GE10,FT,F,B-S_X_O,RO	: 	5177 e	5221 e	5383 d
EUR,GE10,FT,F,B-S_X_O,SE	31000 	29064 	33305 	35733 
EUR,GE10,FT,F,B-S_X_O,SK	8029 	8555 	8929 	9237 
EUR,GE10,FT,F,B-S_X_O,UK	32161 	29414 	31115 	30867 
EUR,GE10,FT,M,B-S_X_O,BG	3930 	4519 	4861 	5125 
EUR,GE10,FT,M,B-S_X_O,CH	: 	: 	60135 	: 
EUR,GE10,FT,M,B-S_X_O,DE	43800 	43400 	44465 	46100 p
EUR,GE10,FT,M,B-S_X_O,DK	58245 	59119 	62120 	62851 
EUR,GE10,FT,M,B-S_X_O,EL	29356 	31246 	: 	: 
EUR,GE10,FT,M,B-S_X_O,ES	26960 	28265 	29009 	29354 
EUR,GE10,FT,M,B-S_X_O,FI	: 	42855 	42741 	47834 
EUR,GE10,FT,M,B-S_X_O,FR	: 	37094 	37627 	: 
EUR,GE10,FT,M,B-S_X_O,HU	10923 	10157 	10624 	11000 
EUR,GE10,FT,M,B-S_X_O,IE	50900 	50577 	48459 	: 
EUR,GE10,FT,M,B-S_X_O,LV	9493 	9377 	9255 	9521 
EUR,GE10,FT,M,B-S_X_O,MT	: 	19922 	20060 	20503 
EUR,GE10,FT,M,B-S_X_O,NL	45457 	46687 	47373 	48386 
EUR,GE10,FT,M,B-S_X_O,PT	: 	18955 	19424 	18723 
EUR,GE10,FT,M,B-S_X_O,RO	: 	5753 e	6119 e	6297 d
EUR,GE10,FT,M,B-S_X_O,SE	39044 	36006 	41311 	44827 
EUR,GE10,FT,M,B-S_X_O,SK	10473 	11299 	11645 	12087 
EUR,GE10,FT,M,B-S_X_O,UK	45363 	40919 	42710 	43015 
EUR,GE10,FT,T,B-S_X_O,BG	3584 	4076 	4361 	4599 
EUR,GE10,FT,T,B-S_X_O,CH	: 	: 	57014 	: 
EUR,GE10,FT,T,B-S_X_O,DE	40700 	40500 	41495 	42900 p
EUR,GE10,FT,T,B-S_X_O,DK	52509 	53543 	55707 	56299 
EUR,GE10,FT,T,B-S_X_O,EL	26661 	28241 	: 	: 
EUR,GE10,FT,T,B-S_X_O,ES	25435 	26568 	27438 	27447 
EUR,GE10,FT,T,B-S_X_O,FI	: 	38626 	38520 	42351 
EUR,GE10,FT,T,B-S_X_O,FR	: 	34329 	34854 	: 
EUR,GE10,FT,T,B-S_X_O,HU	10055 	9234 	9496 	9868 
EUR,GE10,FT,T,B-S_X_O,IE	46168 	46102 	46602 	: 
EUR,GE10,FT,T,B-S_X_O,LV	8567 	8351 	8027 	8376 
EUR,GE10,FT,T,B-S_X_O,MT	: 	18902 	18850 	19339 
EUR,GE10,FT,T,B-S_X_O,NL	42629 	43931 	44784 	45793 
EUR,GE10,FT,T,B-S_X_O,PT	: 	16735 	16776 	17741 
EUR,GE10,FT,T,B-S_X_O,RO	: 	5483 e	5689 e	5869 d
EUR,GE10,FT,T,B-S_X_O,SE	35802 	33163 	38023 	41026 
EUR,GE10,FT,T,B-S_X_O,SK	9349 	10031 	10407 	10788 
EUR,GE10,FT,T,B-S_X_O,UK	40171 	36386 	38122 	38284 
