Industry;EU_Industry;Group;Percent_Women_Employed persons by detailed industry_2018
Total, 16 years and over;Total;all;46,9
Agriculture, forestry, fishing, and hunting;LAND- UND FORSTWIRTSCHAFT, FISCHEREI ;Main;25,9
Mining, quarrying, and oil and gas extraction;BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN;Main;13,8
Construction;BAUGEWERBE/BAU;Main;9,9
Manufacturing;VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN ;Main;29,2
Wholesale and retail trade;"HANDEL; INSTANDHALTUNG UND REPARATUR VON KRAFTFAHRZEUGEN";Main;44,7
Transportation and utilities;VERKEHR UND LAGEREI;Main;24,4
Information;INFORMATION UND KOMMUNIKATION;Main;38,3
Software publishers;NA;Information;33,5
Internet publishing and broadcasting and web search portals;NA;Information;40
Wired telecommunications carriers;NA;Information;30,6
Other telecommunications services;NA;Information;26,9
Data processing, hosting, and related services;NA;Information;45,8
Financial activities;ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN   ;Main;52,6
Professional and business services;ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN;Main;41,5
Education and health services;ERZIEHUNG UND UNTERRICHT;Main;74,4
Leisure and hospitality;GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE;Main;51,5
Other services;ERBRINGUNG VON SONSTIGEN DIENSTLEISTUNGEN;Main;53,6
Public administration;"ÖFFENTLICHE VERWALTUNG, VERTEIDIGUNG; SOZIALVERSICHERUNG";Main;45,8
