Occupation;Occupation_group;Year;Median weekly earnings Men;Median weekly earnings Women;Percent Women Workers;Percent Women earnings on mens earnings;Gender pay gap tech
Total, full-time wage and salary workers;Total;2018;$973;$789;44,5;81,09;18,91
Management, professional, and related occupations;Main;2018;1.468;1.078;51,47;73,43;26,57
Computer and information systems managers;Sub;2018;1.920;1.727;25,46;89,95;10,05
Computer and mathematical occupations;Main;2018;1.604;1.345;24,9;83,85;16,15
Computer and information research scientists;Sub;2018;;;20;;
Computer systems analysts;2018;Sub;1.647;1.246;38,28;75,65;24,35
Information security analysts;Sub;2018;1.625;;19,35;;
Computer programmers;Sub;2018;1.662;1.445;21,26;86,94;13,06
Software developers, applications and systems software;Sub;2018;1.894;1.644;20,3;86,8;13,2
Web developers;Sub;2018;1.418;;29,88;;
Computer support specialists;Sub;2018;1.114;1.015;27,13;91,11;8,89
Database administrators;Sub;2018;1.573;;37,04;;
Network and computer systems administrators;Sub;2018;1.478;;19,27;;
Computer network architects;Sub;2018;1.771;;8,93;;
Computer occupations, all other;Sub;2018;1.238;1.208;19,32;97,58;2,42
Operations research analysts;Sub;2018;1.566;1.299;46,4;82,95;17,05
Statisticians;Sub;2018;;;50,59;;
Computer hardware engineers;Sub;2018;1.852;;15,71;;
Service occupations;Main;2018;641;511;51,2;79,72;20,28
Sales and office occupations;Main;2018;846;696;59,74;82,27;17,73
Natural resources, construction, and maintenance occupations;Main;2018;834;638;4,47;76,5;23,5
Production, transportation, and material moving occupations;Main;2018;762;561;21,56;73,62;26,38
